Transaction Date,Opening Price,High Price,Low Price,Close Price,Turnover Volume,Turnover Amount
2022/10/17,4.38,4.56,4.37,4.53,13847895,62180900
2022/10/18,4.53,4.55,4.47,4.49,12649548,56963396
2022/10/19,4.49,4.6,4.44,4.49,14149305,63926804
2022/10/20,4.45,4.53,4.39,4.48,9974380,44512292
2022/10/21,4.49,4.54,4.46,4.46,7963409,35799076
2022/10/24,4.48,4.59,4.44,4.51,16607216,75239984
2022/10/25,4.51,4.56,4.38,4.53,13372394,59976980
2022/10/26,4.42,4.5,4.38,4.46,22541190,100170104
2022/10/27,4.47,4.61,4.4,4.43,19006531,85858568
2022/10/28,4.6,4.69,4.23,4.27,25175889,112222968
2022/10/31,4.12,4.35,4.12,4.27,15161609,64559796
2022/11/1,4.29,4.44,4.28,4.44,14654432,64105072
2022/11/2,4.43,4.47,4.4,4.44,11442170,50809648
2022/11/3,4.4,4.46,4.37,4.43,9003900,39870992
2022/11/4,4.44,4.52,4.43,4.51,12568791,56389012
2022/11/7,4.51,4.55,4.47,4.49,11174925,50292012
2022/11/8,4.51,4.52,4.42,4.45,9284037,41334684
2022/11/9,4.45,4.48,4.42,4.43,8249432,36677776
2022/11/10,4.4,4.43,4.33,4.34,12894753,56323792
2022/11/11,4.42,4.47,4.36,4.36,13980064,61461180
2022/11/14,4.37,4.39,4.26,4.28,13213800,57033864
2022/11/15,4.28,4.37,4.23,4.37,10815151,46787792
2022/11/16,4.38,4.45,4.36,4.43,15403800,67946216
2022/11/17,4.44,4.44,4.32,4.37,11414537,49795292
2022/11/18,4.37,4.41,4.31,4.32,9681600,42213396
2022/11/21,4.3,4.34,4.27,4.34,7284694,31358756
2022/11/22,4.35,4.35,4.27,4.28,8647551,37213968
2022/11/23,4.31,4.31,4.21,4.25,7475883,31737458
2022/11/24,4.25,4.29,4.25,4.29,6171260,26345204
2022/11/25,4.29,4.29,4.18,4.2,11729770,49469512
2022/11/28,4.14,4.18,4.11,4.16,9697270,40241284
2022/11/29,4.18,4.24,4.17,4.23,7221359,30454032
2022/11/30,4.23,4.27,4.21,4.24,8602656,36535584
2022/12/1,4.27,4.3,4.25,4.27,6960111,29702558
2022/12/2,4.27,4.3,4.25,4.3,7568121,32419830
2022/12/5,4.32,4.32,4.28,4.31,9879529,42483936
2022/12/6,4.31,4.31,4.27,4.28,7964655,34157992
2022/12/7,4.3,4.31,4.27,4.3,6908120,29677846
2022/12/8,4.29,4.31,4.27,4.28,5808908,24894428
2022/12/9,4.27,4.3,4.25,4.27,6965911,29753398
2022/12/12,4.28,4.28,4.2,4.23,8041238,33980460
2022/12/13,4.23,4.24,4.17,4.17,7023476,29457636
2022/12/14,4.18,4.2,4.16,4.17,4646925,19421238
2022/12/15,4.18,4.23,4.15,4.23,5682507,23811122
2022/12/16,4.22,4.22,4.13,4.15,7512977,31257646
2022/12/19,4.15,4.17,4.02,4.04,10178092,41476440
2022/12/20,4.05,4.11,4.03,4.08,5070800,20673010
2022/12/21,4.1,4.1,4.03,4.05,4696100,19057672
2022/12/22,4.09,4.09,3.98,3.99,7098305,28551702
2022/12/23,3.99,4.02,3.92,3.95,6013220,23877066
2022/12/26,4.01,4.08,3.97,4.06,6635400,26836496
2022/12/27,4.07,4.09,4.05,4.07,4353590,17717776
2022/12/28,4.07,4.13,4.04,4.11,7229894,29527020
2022/12/29,4.11,4.11,4.05,4.05,5189520,21136162
2022/12/30,4.06,4.07,4.04,4.06,3768268,15280753
2023/1/3,4.04,4.12,4.04,4.11,7581999,30989104
2023/1/4,4.11,4.13,4.1,4.11,4548940,18713116
2023/1/5,4.14,4.15,4.11,4.14,4238640,17505610
2023/1/6,4.17,4.19,4.14,4.15,5292800,22037220
2023/1/9,4.26,4.3,4.2,4.23,11640444,49216608
2023/1/10,4.24,4.25,4.19,4.24,8494379,35810956
2023/1/11,4.25,4.26,4.18,4.18,5985960,25204096
2023/1/12,4.18,4.26,4.17,4.23,9728950,41118436
2023/1/13,4.29,4.3,4.23,4.25,7592992,32338750
2023/1/16,4.25,4.29,4.25,4.26,8038900,34334984
2023/1/17,4.27,4.28,4.23,4.25,4931060,20961676
2023/1/18,4.25,4.34,4.23,4.3,9646765,41403292
2023/1/19,4.31,4.38,4.3,4.37,10606680,46182096
2023/1/20,4.38,4.43,4.34,4.38,8737000,38238300
2023/1/30,4.45,4.45,4.4,4.41,11032511,48707508
2023/1/31,4.41,4.53,4.38,4.47,16700084,74556384
2023/2/1,4.48,4.56,4.47,4.55,16433259,74082448
2023/2/2,4.55,4.62,4.52,4.57,15258341,69879296
2023/2/3,4.6,4.6,4.49,4.54,15016996,68091496
2023/2/6,4.54,4.54,4.47,4.51,12605096,56825140
2023/2/7,4.52,4.59,4.51,4.58,13211545,60180112
2023/2/8,4.59,4.6,4.54,4.55,10626729,48481360
2023/2/9,4.55,4.62,4.53,4.62,13177102,60537096
2023/2/10,4.6,4.63,4.56,4.59,10279868,47260668
2023/2/13,4.62,4.65,4.59,4.63,12449205,57562372
2023/2/14,4.63,4.66,4.61,4.65,9574689,44364084
2023/2/15,4.65,4.75,4.64,4.7,15320543,71867400
2023/2/16,4.69,4.7,4.5,4.54,19888844,91663016
2023/2/17,4.57,4.61,4.51,4.53,16622441,75645344
2023/2/20,4.55,4.62,4.49,4.6,13868860,63539804
2023/2/21,4.62,4.63,4.57,4.62,9442259,43500972
2023/2/22,4.6,4.66,4.57,4.63,7494700,34697512
2023/2/23,4.64,4.73,4.59,4.67,20697771,96499008
2023/2/24,4.66,4.71,4.59,4.64,16510951,76719152
2023/2/27,4.64,4.65,4.55,4.56,10235983,47016364
2023/2/28,4.6,4.64,4.54,4.6,8853300,40607936
2023/3/1,4.61,4.62,4.58,4.61,9101803,41867596
2023/3/2,4.61,4.63,4.56,4.58,8065100,37089360
2023/3/3,4.56,4.6,4.54,4.59,7887572,36075512
2023/3/6,4.58,4.61,4.53,4.55,8601806,39202072
2023/3/7,4.54,4.55,4.43,4.44,11710879,52507280
2023/3/8,4.43,4.51,4.42,4.51,7951545,35623732
2023/3/9,4.5,4.52,4.46,4.49,5205245,23385748
2023/3/10,4.46,4.51,4.41,4.42,7110386,31617548
2023/3/13,4.42,4.42,4.34,4.4,7685406,33620228
2023/3/14,4.4,4.4,4.25,4.33,9434397,40767236
2023/3/15,4.33,4.44,4.33,4.41,6971240,30719120
2023/3/16,4.39,4.39,4.32,4.32,7022179,30526398
2023/3/17,4.34,4.4,4.33,4.37,6419090,28061648
2023/3/20,4.38,4.41,4.35,4.39,8471200,37154736
2023/3/21,4.39,4.45,4.35,4.44,7710812,34133448
2023/3/22,4.47,4.47,4.43,4.45,5915780,26280024
2023/3/23,4.46,4.47,4.42,4.46,7949220,35302280
2023/3/24,4.47,4.49,4.44,4.46,6516060,29096128
2023/3/27,4.47,4.55,4.45,4.53,12468571,56372888
2023/3/28,4.8,4.98,4.75,4.98,111895360,552706112
2023/3/29,5.01,5.11,4.92,4.92,134031055,670891456
2023/3/30,4.97,5.22,4.94,5.14,106009511,541749184
2023/3/31,5.09,5.11,4.88,4.95,68067580,337963072
2023/4/3,4.99,5.07,4.95,5.02,48668999,243531888
2023/4/4,5,5.15,4.95,5.06,50757213,256393616
2023/4/6,5.04,5.23,4.96,5.23,60194614,309024736
2023/4/7,5.3,5.55,5.19,5.33,71229144,383827104
2023/4/10,5.3,5.52,5.3,5.42,54010052,291831232
2023/4/11,5.42,5.5,5.3,5.39,47535435,256642864
2023/4/12,5.34,5.4,5.26,5.29,47174936,250620112
2023/4/13,5.35,5.4,5.18,5.19,57787063,303202880
2023/4/14,5.19,5.22,5.09,5.11,35994631,184618720
2023/4/17,5.16,5.21,5.09,5.15,26146337,134704848
2023/4/18,5.16,5.16,5.07,5.12,16466401,84129008
2023/4/19,5.11,5.16,5.07,5.08,21157148,108009184
